postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat,Lon
2609,213,509,9.8,11902,304,6762,4836,50,157,6,132429,"847,548",188,-35.3093535,149.1819509
2611,4644,12470,31.5,30278,19672,10209,397,3926,716,2,154431,"988,361",218.2,-35.4526686,148.6954887
2612,652,3015,18.1,5090,2603,2287,200,545,106,1,70302,"449,930",97.5,-35.2831579,149.1488072
2614,2445,7503,28.7,14200,10162,4038,0,2154,291,0,107520,"688,128",149,-35.2451607,149.0460037
2615,6115,17970,30.6,35046,26662,8384,0,5497,618,0,235891,"1,509,701",326.9,-35.2135102,149.0289646
2617,3282,10336,27.7,21917,13595,6651,1671,2862,417,3,185586,"1,187,751",257,-35.2279309,149.0837462
2618,270,551,35.8,2378,1067,1311,0,197,73,0,3324,"21,272",4.6,-35.1277684,149.0277092
2619,1115,3359,27.7,7869,5064,2511,294,929,185,1,57215,"366,178",79.3,-35.3844774,149.1979373
2620,5479,15174,29.6,41261,23580,17336,345,4496,981,2,38865,"248,738",56.4,-35.41849319,149.1909034
2621,1239,2560,41.5,7787,5569,2218,0,1063,176,0,70858,"453,491",98.1,-35.3937781,149.4328549
2622,953,2766,30.8,5081,3676,1405,0,853,100,0,67648,"432,944",91.8,-35.45708681,149.7971071
2623,79,296,24.3,406,319,87,0,72,7,0,5224,"33,436",7.2,-35.5720136,149.4239637
2625,5,8,,120,20,100,0,4,1,0,0,0,0,-36.50399047,148.3047948
2626,93,199,43.7,486,416,70,0,87,6,0,7223,"46,225",10.1,-35.93293569,149.149139
2627,763,2666,22.7,5544,3116,2428,0,604,159,0,18113,"115,925",22.9,-36.41176008,148.6232889
2628,337,1267,24.1,1982,1459,523,0,305,32,0,20871,"133,577",29.1,-36.40576613,148.7731004
2629,108,588,16.2,785,479,306,0,95,13,0,11511,"73,668",15.1,-35.92792668,148.6800388
2630,1283,4013,29.1,7485,5172,2313,0,1168,115,0,110872,"709,583",155.1,-36.23640109,149.1163472
