postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,ALGO,Total Potentian incl +100
3026,623,61,,16381,2739,9433,4209,430,183,10,467328,"2,990,901",601,4811,DERRIMUT,VIC,144.64209,-37.91624,HOPPERS CROSSING DEL CENTRE,Delivery Area,Updated 6-Feb-2020,21305,Wyndham,213,Melbourne - West,R1,-37.7927082,144.7715559,21301133020,21301133020,213011330,Deer Park - Derrimut,21301,Brimbank,213,Melbourne - West,1,1,1,1,Lalor,,V1,PHN201,North Western Melbourne,Wyndham,27260,Gorton,Outer Metropolitan,1363,471537
4207,12726,25091,45.1,86174,50379,27789,8006,11315,1400,11,517224,"3,310,231",760.4,8118,ALBERTON,QLD,153.204523,-27.733991,YATALA DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,31105,Loganlea - Carbrook,311,Logan - Beaudesert,R2,-27.7069,153.2689,30907125408,30907125408,309071254,Jacobs Well - Alberton,30907,Ormeau - Oxenford,309,Gold Coast,1,1,1,1,Forde,42.12730026,Q1,PHN303,Gold Coast,Logan,34590,Wright,Rural,1354,525230
2795,6172,19197,27.9,41582,26221,15062,299,5357,814,1,475978,"3,046,258",665.7,5538,ABERCROMBIE,NSW,149.474401,-33.820797,BATHURST DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,10304,Orange,103,Central West,R3,-33.39,149.565,10301105835,10301105835,103011058,Bathurst,10301,Bathurst,103,Central West,2,2,3,3,Calare,-3492,N2,PHN107,Western NSW,Oberon,16100,Calare,Rural,1343,476277
2259,9830,25012,34.9,56692,39116,17275,301,8730,1099,1,476017,"3,046,510",617.5,2522,ALISON,NSW,151.377213,-33.208801,CHARMHAVEN  DC,Delivery Area,Updated 6-Feb-2020,11102,Lake Macquarie - West,111,Newcastle and Lake Macquarie,R2,-33.265,151.398,10202104903,10202104903,102021049,Jilliby - Yarramalong,10202,Wyong,102,Central Coast,1,1,1,1,Dobell,20.94919968,N1,PHN108,Hunter New England and Central Coast,Central Coast,11650,Shortland,Provincial,1305,476318
2800,6523,20369,27.5,46400,27734,17319,1347,5601,919,3,462098,"2,957,429",658.9,5370,AMMERDOWN,NSW,149.116263,-33.233929,Orange,,Updated 6-Feb-2020,10304,Orange,103,Central West,R3,-33.2496,149.072,10304107835,10304107835,103041078,Orange - North,10304,Orange,103,Central West,2,2,3,3,Calare,717.1773071,N2,PHN107,Western NSW,Orange,16150,Calare,Rural,1293,463445
6330,4149,18582,21.6,19759,15681,3878,200,4008,140,1,424157,"2,714,606",537.3,15817,ALBANY,WA,117.863286,-34.905438,ALBANY DC,Delivery Area,Updated 6-Feb-2020,50901,Albany,509,Western Australia - Wheat Belt,R3,-35.0269344,117.8837206,50901122535,50901122535,509011225,Albany,50901,Albany,509,Western Australia - Wheat Belt,3,3,3,3,O'Connor,,W2,PHN503,Country WA,Albany,50080,Forrest,,1257,424357
2148,5901,20107,26.6,38453,22628,13370,2455,5343,551,7,417923,"2,674,710",543.2,2770,ARNDELL PARK,NSW,150.900547,-33.783751,SEVEN HILLS DF,Delivery Area,Updated 6-Feb-2020,12702,Fairfield,127,Sydney - South West,R1,-33.79,150.876,11603131801,11603131801,116031318,Prospect Reservoir,11603,Mount Druitt,116,Sydney - Blacktown,1,1,1,1,Greenway,,N1,PHN103,Western Sydney,Blacktown,10750,McMahon,Outer Metropolitan,1189,420378
2830,9865,16789,52.9,71120,32954,18614,19552,8881,978,6,440342,"2,818,192",651.8,5219,BALLIMORE,NSW,148.657282,-32.24224,DUBBO DC,Delivery Area,Updated 6-Feb-2020,10503,Dubbo,105,Far West and Orana,R3,-32.1725937,148.9159727,10503110318,10503110318,105031103,Dubbo Region,10503,Dubbo,105,Far West and Orana,3,3,5,5,Parkes,293.7165527,N2,PHN107,Western NSW,Dubbo Regional,12390,Parkes,Rural,1187,459894
6230,7335,20273,35.1,35371,29905,5466,0,7116,219,0,417184,"2,669,976",612.1,16059,BUNBURY,WA,115.649205,-33.341076,BUNBURY DC,Delivery Area,Updated 6-Feb-2020,50102,Bunbury,501,Bunbury,R3,-33.3209971,115.6383482,50102100609,50102125315,501021253,South Bunbury - Bunbury,50102,Bunbury,501,Bunbury,2,2,2,2,Forrest,,W2,PHN503,Country WA,Bunbury,51190,Forrest,Rural,1184,417184
2540,8415,26577,29,50204,34767,11511,3926,7705,709,1,422372,"2,703,180",545.2,2179,BAMARANG,NSW,150.61644,-34.863483,NOWRA DC,Delivery Area,Updated 6-Feb-2020,90103,Jervis Bay,901,Other Territories,R3,-34.8956489,150.5193226,11401128105,11401128105,114011281,Tomerong - Wandandian - Woollamia,11401,Shoalhaven,114,Southern Highlands and Shoalhaven,2,2,3,3,Gilmore,0,N2,PHN106,South Eastern NSW,Kiama,14400,Gilmore,Rural,1183,426298
