postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,ALGO,Total Potentian incl +100
2602,3084,10835,25.6,18237,13174,4877,186,2775,308,1,158830,"1,016,509",220,1135,AINSLIE,ACT,149.148147,-35.248071,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory,R2,-35.262778,149.144167,80105105010,80105105018,801051050,Ainslie,80105,North Canberra,801,Australian Capital Territory,1,1,1,1,Canberra,584.4209595,N2,PHN801,Australian Capital Territory,Unincorporated ACT,89399,Canberra,Inner Metropolitan,446,159016
2400,2624,4007,56.9,80294,8420,6888,64986,2281,341,2,162302,"1,038,732",245.6,1458,ASHLEY,NSW,149.462148,-29.474921,MOREE DELIVERY,Delivery Area,Updated 6-Feb-2020,11003,Moree - Narrabri,110,New England and North West,R3,-29.3136613,149.8058934,11003119616,11003119616,110031196,Moree Region,11003,Moree - Narrabri,110,New England and North West,3,3,5,5,Parkes,,N2,PHN108,Hunter New England and Central Coast,Moree Plains,15300,Parkes,Rural,445,227288
2142,982,5624,15.1,7317,3571,3250,496,847,133,2,150307,"961,964",196.3,4285,BLAXCELL,NSW,151.015196,-33.832747,BLAXCELL LPO,Delivery Area,Updated 6-Feb-2020,12504,Parramatta,125,Sydney - Parramatta,R1,-33.8504194,151.0086307,12503148339,12503148339,125031483,Guildford - South Granville,12503,Merrylands - Guildford,125,Sydney - Parramatta,1,1,1,1,Parramatta,5.958925724,N1,PHN103,Western Sydney,Cumberland,12380,Parramatta,Inner Metropolitan,445,150803
2470,3378,5919,52.8,19108,14284,4612,212,3125,252,1,164386,"1,052,072",225.3,1756,ALICE,NSW,152.749759,-28.92786,Casino,,Updated 6-Feb-2020,11202,Richmond Valley - Hinterland,112,Richmond - Tweed,R3,-29.053,152.601,10401108103,10401108103,104011081,Grafton Region,10401,Clarence Valley,104,Coffs Harbour - Grafton,3,3,5,5,Page,122.9194717,N2,PHN109,North Coast,Richmond Valley,16610,Page,Rural,444,164598
2575,2586,7001,32,17706,10561,5668,1477,2241,342,3,159723,"1,022,226",210.7,1341,ALPINE,NSW,150.342214,-34.347195,BOWRAL DC,Delivery Area,Updated 6-Feb-2020,11402,Southern Highlands,114,Southern Highlands and Shoalhaven,R3,-34.405833,150.509167,11402128515,11402128515,114021285,Hill Top - Colo Vale,11402,Southern Highlands,114,Southern Highlands and Shoalhaven,2,2,3,3,Whitlam,666.6918335,N2,PHN105,South Western Sydney,Wingecarribee,18350,Whitlam,Provincial,444,161200
7030,1479,7376,19.2,7722,6332,1070,320,1418,60,1,149325,"955,679",180.5,10203,APSLEY,TAS,146.958381,-42.304288,WESTERN SHORE DC,Delivery Area,Updated 6-Feb-2020,60301,Central Highlands (Tas.),603,South East,R2,-42.4240774,147.1442044,60301106506,60301106506,603011065,Central Highlands,60301,Central Highlands (Tas.),603,South East,3,3,5,5,Lyons,459.9697876,T1,PHN601,Tasmania,Central Highlands,61010,Lyons,Rural,444,149645
3165,1821,9403,18.5,9323,7634,1459,230,1740,80,1,149182,"954,763",187.6,6830,BENTLEIGH EAST,VIC,145.059426,-37.922369,BENTLEIGH EAST DC,Delivery Area,Updated 6-Feb-2020,20802,Glen Eira,208,Melbourne - Inner South,R1,-37.9174873,145.0658766,20802117540,20802142621,208021426,Bentleigh East (North),20802,Glen Eira,208,Melbourne - Inner South,1,1,1,1,Hotham,,V1,PHN203,South Eastern Melbourne,Glen Eira,22310,Hotham,Inner Metropolitan,443,149412
3109,2029,10321,18.9,11103,9102,1358,643,1952,76,1,149825,"958,880",184.7,4706,DONCASTER EAST,VIC,145.161649,-37.784786,TEMPLESTOWE DC,Delivery Area,Updated 6-Feb-2020,21102,Manningham - East,211,Melbourne - Outer East,R1,-37.7883929,145.1541397,20702115855,20702142521,207021425,Doncaster East (South),20702,Manningham - West,207,Melbourne - Inner East,1,1,1,1,Menzies,,V1,PHN202,Eastern Melbourne,Manningham,24210,Menzies,Outer Metropolitan,443,150468
3171,1792,7712,21.5,12052,7101,3313,1638,1659,129,4,152140,"973,697",192.7,6843,SANDOWN VILLAGE,VIC,145.156783,-37.944608,MOUNT WAVERLEY MDC (NEW),Delivery Area,Updated 6-Feb-2020,21204,Dandenong,212,Melbourne - South East,R1,-37.9348302,145.1689511,21204131747,21204131747,212041317,Springvale,21204,Dandenong,212,Melbourne - South East,1,1,1,1,Hotham,,V1,PHN203,South Eastern Melbourne,Monash,24970,Hotham,Inner Metropolitan,443,153778
2870,2207,4875,40.1,169645,9179,4269,156197,1956,244,7,158354,"1,013,462",232.2,4908,ALECTOWN,NSW,148.16819,-33.035496,PARKES DELIVERY,Delivery Area,Updated 6-Feb-2020,10304,Orange,103,Central West,R3,-32.9408556,148.2304126,10302106810,10302106810,103021068,Parkes Region,10302,Lachlan Valley,103,Central West,3,3,5,5,Riverina,,N2,PHN107,Western NSW,Parkes,16200,Riverina,Rural,443,314551
6233,4270,9047,46.6,19903,18336,1327,240,4212,57,1,162339,"1,038,968",237.6,16075,AUSTRALIND,WA,115.71443,-33.279034,BUNBURY DC,Delivery Area,Updated 6-Feb-2020,50102,Bunbury,501,Bunbury,R3,-33.2751211,115.7285263,50102100525,50102100525,501021005,Australind - Leschenault,50102,Bunbury,501,Bunbury,2,2,2,2,Forrest,2.421524525,W2,PHN503,Country WA,Bunbury,51190,Forrest,Rural,442,162579
4127,4727,9896,43.6,26376,17647,7988,741,4319,407,1,167172,"1,069,902",243.6,8014,CHATSWOOD HILLS,QLD,153.142035,-27.629474,Brisbane Metro,,Updated 6-Feb-2020,31106,Springwood - Kingston,311,Logan - Beaudesert,R1,-27.6346,153.145,31106133414,31106133414,311061334,Springwood,31106,Springwood - Kingston,311,Logan - Beaudesert,1,1,1,1,Rankin,35.48219299,Q1,PHN302,Brisbane South,Logan,34590,Rankin,Outer Metropolitan,440,167913
6532,1227,3282,36.3,8198,5648,990,1560,1190,36,1,150969,"966,202",235.3,10854,AJANA,WA,115.004595,-28.440886,GERALDTON DC,Delivery Area,Updated 6-Feb-2020,50805,Mid West,508,Western Australia - Outback,R3,-27.840242,114.6924329,50805121715,51104129208,511041292,Northampton - Mullewa - Greenough,51104,Mid West,511,Western Australia - Outback (South),4,4,6,6,Durack,,W2,PHN503,Country WA,Chapman Valley,51610,Durack,Rural,439,152529
3818,2523,6852,34.6,14371,10048,3092,1231,2373,147,3,154191,"986,823",181.8,9060,ATHLONE,VIC,145.867337,-38.096289,DROUIN,Delivery Area,Updated 6-Feb-2020,20501,Baw Baw,205,Latrobe - Gippsland,R3,-38.2386755,145.758535,20501107625,20501107625,205011076,Drouin,20501,Baw Baw,205,Latrobe - Gippsland,2,2,5,5,Monash,,V2,PHN204,Gippsland,Unincorporated Vic,29399,Monash,Rural,436,155422
3204,1888,10808,16.4,9979,7852,2127,0,1775,113,0,146030,"934,591",183.3,6651,BENTLEIGH,VIC,145.036783,-37.916956,MOORABBIN DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20802,Glen Eira,208,Melbourne - Inner South,R1,-37.9224386,145.0410079,20802117431,20802117431,208021174,Bentleigh - McKinnon,20802,Glen Eira,208,Melbourne - Inner South,1,1,1,1,Goldstein,,V1,PHN203,South Eastern Melbourne,Glen Eira,22310,Hotham,Inner Metropolitan,435,146030
2168,3812,12929,27.1,19370,14746,4424,200,3505,306,1,155010,"992,067",199.5,2831,ASHCROFT,NSW,150.875345,-33.915939,PRESTONS DC,Delivery Area,Updated 6-Feb-2020,12703,Liverpool,127,Sydney - South West,R1,-33.91447,150.8987392,12701150421,12701150421,127011504,Ashcroft - Busby - Miller,12701,Bringelly - Green Valley,127,Sydney - South West,1,1,1,1,Werriwa,44.22141647,N1,PHN105,South Western Sydney,Liverpool,14900,Werriwa,Outer Metropolitan,435,155210
3088,2216,10936,19.4,11226,9193,1567,466,2123,90,3,146327,"936,493",180.6,4673,BRIAR HILL,VIC,145.108339,-37.700175,BUNDOORA DC,Delivery Area,Updated 6-Feb-2020,20903,Nillumbik - Kinglake,209,Melbourne - North East,R1,-37.708,145.115,20901119711,20901120215,209011202,Montmorency - Briar Hill,20901,Banyule,209,Melbourne - North East,1,1,1,1,Jagajaga,,V1,PHN202,Eastern Melbourne,Banyule,20660,Jagajaga,Outer Metropolitan,433,146793
2234,3347,10316,27.8,21472,14397,6521,554,2864,481,2,158213,"1,012,561",203.7,2719,ALFORDS POINT,NSW,151.004412,-34.021938,KIRRAWEE DC,Delivery Area,Updated 6-Feb-2020,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,R1,-33.9848,151.02142,12802153424,12802153424,128021534,Illawong - Alfords Point,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1,1,1,1,Hughes,,N1,PHN101,Central and Eastern Sydney,Sutherland Shire,17150,Hughes,Outer Metropolitan,433,158767
7320,997,8201,11.4,6134,4274,1724,136,938,58,1,142550,"912,319",176.2,11411,ACTON,TAS,145.862079,-41.08422,BURNIE DC,Delivery Area,Updated 6-Feb-2020,60401,Burnie - Ulverstone,604,West and North West,R3,-41.07007,145.89399,60401107507,60401107507,604011075,Acton - Upper Burnie,60401,Burnie - Ulverstone,604,West and North West,3,3,3,3,Braddon,171.8020782,T1,PHN601,Tasmania,Burnie,60610,Braddon,Rural,431,142686
2232,2177,8927,21.9,13211,8967,3581,663,1952,223,2,149305,"955,550",193.2,2706,AUDLEY,NSW,151.064329,-34.061753,KIRRAWEE DC,Delivery Area,Updated 3-Dec-2022,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,R1,-34.0730997,151.0567636,12802153701,12802153701,128021537,Royal National Park,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,2,2,2,2,Hughes,109.0031738,N1,PHN101,Central and Eastern Sydney,Sutherland Shire,17150,Hughes,Outer Metropolitan,431,149968
4157,4416,7921,50.8,23513,16140,6858,515,4024,390,2,162213,"1,038,165",236.5,8057,CAPALABA,QLD,153.207096,-27.568178,CAPALABA DC,Delivery Area,Updated 6-Feb-2020,30102,Cleveland - Stradbroke,301,Brisbane - East,R1,-27.522994,153.1927,30101100407,30101100407,301011004,Capalaba,30101,Capalaba,301,Brisbane - East,1,1,1,1,Bowman,49.00247192,Q1,PHN302,Brisbane South,Redland,36250,Bowman,Outer Metropolitan,428,162728
3910,2571,9879,24.4,12460,10408,2052,0,2409,162,0,147807,"945,962",181.1,8573,LANGWARRIN,VIC,145.198328,-38.156369,CRANBOURNE DC,Delivery Area,Updated 6-Feb-2020,21401,Frankston,214,Mornington Peninsula,R1,-38.1608986,145.1927835,21401137448,21401137448,214011374,Langwarrin,21401,Frankston,214,Mornington Peninsula,1,1,1,1,Dunkley,75.44322968,V1,PHN203,South Eastern Melbourne,Frankston,22170,Dunkley,Outer Metropolitan,428,147807
2171,4342,13250,28.4,27927,18818,7973,1136,3760,580,2,160246,"1,025,577",208.1,20225,CARNES HILL,NSW,150.8487366,-33.93771581,Sydney Metro,Delivery Area,Updated 6-Feb-2020,12703,Liverpool,127,Sydney - South West,R1,-33.9383,150.848,12701150813,12701159602,127011596,Hoxton Park - Carnes Hill - Horningsea Park,12701,Bringelly - Green Valley,127,Sydney - South West,1,1,1,1,Werriwa,43.51629639,N1,PHN105,South Western Sydney,Liverpool,14900,Werriwa,Outer Metropolitan,427,161382
3228,3042,10925,25.8,17885,13154,3952,779,2815,225,2,151419,"969,084",189.8,6456,BELLBRAE,VIC,144.299978,-38.307545,TORQUAY,Delivery Area,Updated 6-Feb-2020,20303,Surf Coast - Bellarine Peninsula,203,Geelong,R2,-38.333333,144.266667,20303105332,20303105333,203031053,Torquay,20303,Surf Coast - Bellarine Peninsula,203,Geelong,2,2,2,2,Corangamite,,V2,PHN206,Western Victoria,Surf Coast,26490,Corangamite,Provincial,427,152198
2905,3707,11286,29.2,22277,16882,5395,0,3300,407,0,156473,"1,001,426",221,5005,BONYTHON,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory,R2,-35.431,149.082,80107107202,80107107202,801071072,Bonython,80107,Tuggeranong,801,Australian Capital Territory,1,1,1,1,Bean,606.3239746,N2,PHN801,Australian Capital Territory,Unincorporated ACT,89399,Bean,Inner Metropolitan,425,156473
2144,1505,6757,18.5,11087,5234,5592,261,1251,253,1,146761,"939,271",190.4,4293,AUBURN,NSW,151.026756,-33.851868,LEIGHTONFIELD DF,Delivery Area,Updated 6-Feb-2020,12501,Auburn,125,Sydney - Parramatta,R1,-33.8485157,151.0296696,12501147219,12501158204,125011582,Auburn - Central,12501,Auburn,125,Sydney - Parramatta,1,1,1,1,Blaxland,,N1,PHN103,Western Sydney,Cumberland,12380,Reid,Inner Metropolitan,424,147022
2280,3387,10988,28.1,18093,13956,4137,0,3088,299,0,151050,"966,720",202.8,2611,BELMONT,NSW,151.663175,-33.019715,GATESHEAD DC,Delivery Area,Updated 6-Feb-2020,11101,Lake Macquarie - East,111,Newcastle and Lake Macquarie,R2,-33.037,151.66,11101120630,11101120630,111011206,Belmont - Bennetts Green,11101,Lake Macquarie - East,111,Newcastle and Lake Macquarie,1,1,1,1,Shortland,,N2,PHN108,Hunter New England and Central Coast,Lake Macquarie,14650,Shortland,Provincial,422,151050
3155,2087,10537,19,10398,8105,1971,322,2005,81,1,141819,"907,641",167.7,6807,BORONIA,VIC,145.284418,-37.861799,BAYSWATER DC,Delivery Area,Updated 6-Feb-2020,21101,Knox,211,Melbourne - Outer East,R1,-37.8610682,145.2867055,21101125256,21101144613,211011446,Boronia,21101,Knox,211,Melbourne - Outer East,1,1,1,1,Aston,,V1,PHN202,Eastern Melbourne,Knox,23670,Aston,Outer Metropolitan,421,142141
2529,3539,11438,28.1,22062,15542,4987,1533,3216,321,2,152758,"977,654",201,2339,BALARANG,NSW,150.84584,-34.592433,Wollongong and Surrounding areas,,Updated 6-Feb-2020,10703,Kiama - Shellharbour,107,Illawarra,R2,-34.5568,150.834,10703114201,10703114201,107031142,Shellharbour - Oak Flats,10703,Kiama - Shellharbour,107,Illawarra,1,1,1,1,Whitlam,,N1,PHN106,South Eastern NSW,Shellharbour,16900,Whitlam,Provincial,421,154291
3032,1536,9139,16,7576,6048,1528,0,1459,77,0,139424,"892,317",171.8,4818,ASCOT VALE,VIC,144.897221,-37.774486,MOONEE PONDS DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.7767444,144.9110705,20603111304,20603111304,206031113,Ascot Vale,20603,Essendon,206,Melbourne - Inner,1,1,1,1,Maribyrnong,2.215172052,V1,PHN201,North Western Melbourne,Moonee Valley,25060,Maribyrnong,Inner Metropolitan,419,139424
2036,1641,6967,20.4,10598,6745,3618,235,1424,216,1,144448,"924,466",187.8,4561,CHIFLEY,NSW,151.237844,-33.969624,ALEXANDRIA DF,Delivery Area,Updated 6-Feb-2020,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,R1,-33.969,151.24,11802135038,11802135038,118021350,Malabar - La Perouse - Chifley,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1,1,1,1,Kingsford Smith,,N1,PHN101,Central and Eastern Sydney,Randwick,16550,Barton,,418,144683
2705,1539,4379,28.1,26995,5970,6503,14522,1231,306,2,148567,"950,830",220.4,3721,BROBENAH,NSW,146.373471,-34.489867,LEETON DELIVERY,Delivery Area,Updated 6-Feb-2020,11301,Griffith - Murrumbidgee (West),113,Riverina,R3,-34.3737567,146.4350699,11301125910,11301125910,113011259,Narrandera,11301,Griffith - Murrumbidgee (West),113,Riverina,3,3,5,5,Farrer,134,N2,PHN110,Murrumbidgee,Leeton,14750,Farrer,Rural,417,163089
2761,4757,10310,41.8,28662,20049,8243,370,4314,441,2,161148,"1,031,345",210.9,5675,COLEBEE,NSW,150.84746,-33.742006,NEPEAN DF,Delivery Area,Updated 6-Feb-2020,11603,Mount Druitt,116,Sydney - Blacktown,R1,-33.721,150.855,11602131202,11602131239,116021312,Riverstone - Marsden Park,11602,Blacktown - North,116,Sydney - Blacktown,1,1,1,1,Chifley,,N1,PHN103,Western Sydney,Blacktown,10750,Chifley,Outer Metropolitan,415,161518
4074,5305,9025,54.5,27084,20537,6547,0,4918,387,0,161254,"1,032,027",236.3,8162,JAMBOREE HEIGHTS,QLD,152.921521,-27.554082,RICHLANDS DC,Delivery Area,Updated 4-Dec-2022,31001,Forest Lake - Oxley,310,Ipswich,R2,-27.557147,152.9338313,30401108220,30401108220,304011082,Middle Park - Jamboree Heights,30401,Centenary,304,Brisbane - West,1,1,1,1,Oxley,,Q1,PHN302,Brisbane South,Brisbane,31000,Oxley,Outer Metropolitan,414,161254
4051,3470,8798,34.7,20644,13986,6360,298,3051,418,1,152864,"978,332",223.7,8357,ALDERLEY,QLD,153.000297,-27.427508,KELVIN GROVE DC,Delivery Area,Updated 6-Feb-2020,30504,Brisbane Inner - West,305,Brisbane Inner City,R1,-27.423889,153.005,30503112005,30503112005,305031120,Alderley,30503,Brisbane Inner - North,305,Brisbane Inner City,1,1,1,1,Brisbane,,Q1,PHN301,Brisbane North,Brisbane,31000,Ryan,Outer Metropolitan,414,153162
2077,1897,7658,21.6,12676,7573,3861,1242,1657,237,3,143336,"917,348",185,4384,ASQUITH,NSW,151.097508,-33.691922,THORNLEIGH DC,Delivery Area,Updated 6-Feb-2020,12102,Hornsby,121,Sydney - North Sydney and Hornsby,R1,-33.689,151.105,12102140312,12102140312,121021403,Asquith - Mount Colah,12102,Hornsby,121,Sydney - North Sydney and Hornsby,1,1,1,1,Bradfield,,N1,PHN102,Northern Sydney,Ku-ring-gai,14500,Bradfield,Inner Metropolitan,413,144578
2141,1643,7119,20.8,9700,5886,3374,440,1482,159,2,141278,"904,181",182.9,4281,BERALA,NSW,151.044768,-33.872483,LIDCOMBE DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,12501,Auburn,125,Sydney - Parramatta,R1,-33.87487,151.03073,12501147425,12501158515,125011585,Berala,12501,Auburn,125,Sydney - Parramatta,1,1,1,1,Blaxland,,N1,PHN103,Western Sydney,Strathfield,17100,Watson,Inner Metropolitan,413,141718
3044,1590,12654,12,7325,6021,1304,0,1517,73,0,133729,"855,869",165,4849,PASCOE VALE,VIC,144.936356,-37.731138,PRESTON DC,Delivery Area,Updated 6-Feb-2020,21003,Moreland - North,210,Melbourne - North West,R1,-37.727,144.942,21003123943,21003123943,210031239,Pascoe Vale,21003,Moreland - North,210,Melbourne - North West,1,1,1,1,Wills,67.53238678,V1,PHN201,North Western Melbourne,Moreland,25250,Wills,Inner Metropolitan,413,133729
2390,2616,3813,62.5,11802,8223,3579,0,2383,233,0,147910,"946,624",223.9,1433,BAAN BAA,NSW,149.767538,-30.413331,NARRABRI DELIVERY,Delivery Area,Updated 6-Feb-2020,11004,Tamworth - Gunnedah,110,New England and North West,R3,-30.5955941,149.9558657,11003119808,11003119808,110031198,Narrabri Region,11003,Moree - Narrabri,110,New England and North West,3,3,5,5,Parkes,251.1808472,N2,PHN108,Hunter New England and Central Coast,Narrabri,15750,Parkes,Rural,412,147910
3131,1868,10191,17.1,10255,7189,3066,0,1745,123,0,138989,"889,530",164.3,6738,BRENTFORD SQUARE,VIC,145.174489,-37.817798,NUNAWADING DC,Delivery Area,Updated 6-Feb-2020,21104,Whitehorse - East,211,Melbourne - Outer East,R1,-37.8370056,145.1840103,21104126919,21104126919,211041269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,1,1,1,1,Chisholm,,V1,PHN202,Eastern Melbourne,Whitehorse,26980,Deakin,Outer Metropolitan,411,138989
3691,2343,4213,49.8,15066,10673,4278,115,2096,246,1,150142,"960,912",202.8,7051,ALLANS FLAT,VIC,147.880991,-36.027154,WODONGA DC,Delivery Area,Updated 6-Feb-2020,20403,Wodonga - Alpine,204,Hume,R3,-36.2870441,146.9263742,20403107507,20403107507,204031075,Yackandandah,20403,Wodonga - Alpine,204,Hume,2,2,5,5,Indi,626.977417,V2,PHN205,Murray,Towong,26670,Farrer,Rural,411,150257
822,1092,9101,9.7,18423,5735,6354,6334,887,194,11,140603,"899,862",214,282,ACACIA HILLS,NT,130.6254299,-11.75841975,,,Updated 3-Dec-2022,70205,Katherine,702,Northern Territory - Outback,R1,-12.7541536,131.1489404,70103103506,70103103513,701031035,Weddell,70103,Litchfield,701,Darwin,3,3,5,5,,5.123323917,NT1,PHN701,Northern Territory,Tiwi Islands,74050,Solomon,Inner Metropolitan,410,146937
3084,1896,9898,18,9636,7478,1859,299,1779,116,1,137790,"881,858",169.9,4662,BANYULE,VIC,145.082685,-37.744406,HEIDELBERG WEST DEL CENTRE,Delivery Area,Updated 6-Feb-2020,20901,Banyule,209,Melbourne - North East,R1,-37.7436031,145.0769045,20901119816,20901119816,209011198,Heidelberg - Rosanna,20901,Banyule,209,Melbourne - North East,1,1,1,1,Jagajaga,38.25391769,V1,PHN202,Eastern Melbourne,Banyule,20660,Jagajaga,Outer Metropolitan,410,138089
2380,1668,4579,30.7,165174,6655,4238,154281,1404,262,2,144342,"923,792",213.9,1396,BASIN PLAIN,NSW,150.199154,-31.046117,Gunnedah,,Updated 6-Feb-2020,11004,Tamworth - Gunnedah,110,New England and North West,R3,-31.0994,150.008,11004120012,11004120012,110041200,Gunnedah Region,11004,Tamworth - Gunnedah,110,New England and North West,3,3,5,5,Parkes,,N2,PHN108,Hunter New England and Central Coast,Gunnedah,13550,Parkes,Rural,409,298623
2576,1775,6285,24.1,11559,6956,4603,0,1516,259,0,143012,"915,278",188.3,1355,BONG BONG,NSW,150.503502,-34.525612,BOWRAL DC,Delivery Area,Updated 6-Feb-2020,11402,Southern Highlands,114,Southern Highlands and Shoalhaven,R3,-34.4787669,150.4179006,11402128402,11402128402,114021284,Bowral,11402,Southern Highlands,114,Southern Highlands and Shoalhaven,2,2,3,3,Whitlam,,N2,PHN105,South Western Sydney,Wingecarribee,18350,Whitlam,Provincial,408,143012
4343,2433,4420,47.8,19642,9144,6770,3728,2111,320,2,149834,"958,938",224.6,9717,ADARE,QLD,152.224616,-27.656074,GATTON,Delivery Area,Updated 6-Feb-2020,31701,Toowoomba,317,Toowoomba,R3,-27.5112736,152.3037176,31701145132,31701145132,317011451,Lockyer Valley - West,31701,Toowoomba,317,Toowoomba,2,2,4,4,Wright,143.1050873,Q2,PHN304,Darling Downs and West Moreton,Lockyer Valley,34580,Wright,Rural,408,153562
7315,1390,7726,16.9,7396,5796,1600,0,1308,82,0,136592,"874,189",169.4,11383,ABBOTSHAM,TAS,146.072407,-41.303174,ULVERSTONE DC,Delivery Area,Updated 6-Feb-2020,60402,Devonport,604,West and North West,R3,-41.214681,146.1864324,60401107603,60401107603,604011076,Burnie - Ulverstone Region,60401,Burnie - Ulverstone,604,West and North West,3,3,4,4,Braddon,361.7018127,T1,PHN601,Tasmania,Central Coast,60810,Braddon,Rural,407,136592
3047,1426,6451,20.6,11776,5859,3059,2858,1330,93,3,139003,"889,620",171,4855,BROADMEADOWS,VIC,144.930247,-37.681105,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.6860869,144.9269889,21005124217,21005124217,210051242,Broadmeadows,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Moreland,25250,Calwell,Outer Metropolitan,405,141861
2283,3533,9935,32.7,18754,14489,4126,139,3249,283,1,146867,"939,946",191.2,2355,ARCADIA VALE,NSW,151.57181,-33.019117,EDGEWORTH DC,Delivery Area,Updated 6-Feb-2020,11102,Lake Macquarie - West,111,Newcastle and Lake Macquarie,R2,-33.062,151.587,11102122010,11102122010,111021220,Wangi Wangi - Rathmines,11102,Lake Macquarie - West,111,Newcastle and Lake Macquarie,1,1,1,1,Hunter,,N2,PHN108,Hunter New England and Central Coast,Lake Macquarie,14650,Hunter,Rural,404,147006
2263,3018,9821,28.4,19179,11270,4063,3846,2794,220,4,143004,"915,224",185.5,2584,CANTON BEACH,NSW,151.556223,-33.285097,CHARMHAVEN DC,Delivery Area,Updated 6-Feb-2020,10202,Wyong,102,Central Coast,R3,-33.2770008,151.5471829,10202105406,10202105406,102021054,Toukley - Norah Head,10202,Wyong,102,Central Coast,1,1,1,1,Dobell,,N1,PHN108,Hunter New England and Central Coast,Central Coast,11650,Dobell,Provincial,404,146850
2210,2130,9215,20.4,12443,7930,4513,0,1882,248,0,139690,"894,015",181.3,2642,LUGARNO,NSW,151.052257,-33.957725,PEAKHURST DC,Delivery Area,Updated 6-Feb-2020,11903,Hurstville,119,Sydney - Inner South West,R1,-33.98469,151.04352,11903137236,11903137236,119031372,Peakhurst - Lugarno,11903,Hurstville,119,Sydney - Inner South West,1,1,1,1,Banks,-3492,N1,PHN101,Central and Eastern Sydney,Georges River,12930,Watson,Inner Metropolitan,403,139690
4132,4023,9442,40.3,20778,15533,4838,407,3809,212,2,149031,"953,795",219.4,8032,CRESTMEAD,QLD,153.084397,-27.681063,CRESTMEAD DC,Delivery Area,Updated 6-Feb-2020,31106,Springwood - Kingston,311,Logan - Beaudesert,R1,-27.689722,153.088056,31103131416,31103131416,311031314,Crestmead,31103,Browns Plains,311,Logan - Beaudesert,1,1,1,1,Rankin,,Q1,PHN302,Brisbane South,Logan,34590,Rankin,Outer Metropolitan,402,149438
4301,5348,11588,43.1,28966,23028,4939,999,4991,356,1,155303,"993,939",217.4,11990,COLLINGWOOD PARK,QLD,152.858086,-27.629394,GOODNA DC,Delivery Area,Updated 4-Dec-2022,31004,Springfield - Redbank,310,Ipswich,R2,-27.616667,152.85,31004129908,31004129908,310041299,Collingwood Park - Redbank,31004,Springfield - Redbank,310,Ipswich,1,1,1,1,Blair,44.33779144,Q2,PHN304,Darling Downs and West Moreton,Ipswich,33960,Oxley,Outer Metropolitan,401,156302
2505,481,1786,23.8,3184,1918,1134,132,425,55,1,135169,"865,079",181.8,2281,KEMBLAWARRA,NSW,150.943899,-34.466406,WOLLONGONG DC,Delivery Area,Updated 6-Feb-2020,10701,Dapto - Port Kembla,107,Illawarra,R2,-34.4922147,150.8897367,10701113036,10701154612,107011546,Port Kembla - Warrawong,10701,Dapto - Port Kembla,107,Illawarra,1,1,1,1,Cunningham,0,N1,PHN106,South Eastern NSW,Wollongong,18450,Cunningham,Provincial,400,135301
3018,1322,6425,19.1,7924,4384,3363,177,1225,96,1,135695,"868,446",170.3,4772,ALTONA,VIC,144.812736,-37.86172,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.8631512,144.8120218,21302134103,21302134103,213021341,Altona,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Hobsons Bay,23110,Gellibrand,Inner Metropolitan,399,135872
