"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"70700","Coomalie (S)","NT","26294","695","154","18.5","683","564","25047","129","23","2"
"71000","Darwin (C)","NT","66126","22755","7406","30.5","39192","18707","8227","6934","464","8"
"71300","East Arnhem (R)","NT","5712","3143","309","7.8","1568","1901","2243","246","58","5"
"72200","Katherine (T)","NT","41947","3783","929","22.1","4680","3236","34031","838","89","2"
"72300","Litchfield (M)","NT","37051","8649","2839","29.9","16832","7237","12982","2585","251","3"
"72330","MacDonnell (R)","NT","2350","2073","118","3.7","394","1018","938","78","35","5"
"72800","Palmerston (C)","NT","34397","13491","4994","35.9","27559","4356","2482","4843","146","5"
"73600","Roper Gulf (R)","NT","3472","2590","224","6.2","898","1781","793","161","59","4"
"74050","Tiwi Islands (R)","NT","2261","874","105","9.7","551","610","1100","85","19","1"
"74550","Victoria Daly (R)","NT","2352","1220","112","7.0","497","831","1024","86","25","1"
"74560","Wagait (S)","NT","217","164","19","9.7","103","114","0","16","3","0"
"74660","West Arnhem (R)","NT","13202","2424","232","7.5","1168","1422","10612","181","46","5"
"74680","West Daly (R)","NT","1503","1132","134","9.7","713","790","0","110","24","0"
"79399","Unincorporated NT","NT","5218","2542","250","7.9","1226","1684","2308","201","46","3"
"89399","Unincorporated ACT","ACT","359518","150241","46836","26.8","198001","106478","55039","40210","6601","25"
"99399","Unincorp. Other Territories","OT","3223","3261","774","22.2","2281","942","0","724","50","0"
