"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"46970","Roxby Downs (M)","SA","2518","1839","310","15.2","1978","540","0","279","31","0"
"47140","Salisbury (C)","SA","161394","57607","29057","47.5","115337","35888","10169","27391","1652","14"
"47290","Southern Mallee (DC)","SA","2584","1107","420","34.4","1718","680","186","381","38","1"
"47490","Streaky Bay (DC)","SA","7249","2029","640","28.5","2710","1155","3384","577","62","1"
"47630","Tatiara (DC)","SA","9068","2995","1428","42.5","6149","2781","138","1273","154","1"
"47700","Tea Tree Gully (C)","SA","103169","40550","20972","48.9","81887","18762","2520","19826","1144","2"
"47800","The Coorong (DC)","SA","141708","3040","1424","42.4","5804","2757","133147","1290","132","2"
"47910","Tumby Bay (DC)","SA","4082","1713","823","45.4","3350","732","0","778","45","0"
"47980","Unley (C)","SA","41080","13449","6379","40.5","24321","16385","374","5450","927","2"
"48050","Victor Harbor (C)","SA","25024","10167","5401","50.0","19128","5755","141","5083","317","1"
"48130","Wakefield (DC)","SA","19878","3179","1743","49.6","6711","4630","8537","1576","160","7"
"48260","Walkerville (M)","SA","9593","3252","1456","37.7","5871","3722","0","1227","229","0"
"48340","Wattle Range (DC)","SA","14609","6058","2369","35.8","10449","4160","0","2170","199","0"
"48410","West Torrens (C)","SA","61690","25582","9710","34.0","38320","20520","2850","8709","995","6"
"48540","Whyalla (C)","SA","32857","11374","4662","38.4","18679","6096","8082","4362","298","2"
"48640","Wudinna (DC)","SA","2229","729","283","33.4","1138","648","443","244","37","2"
"48750","Yankalilla (DC)","SA","13217","4071","2329","52.6","8942","3482","793","2141","187","1"
"48830","Yorke Peninsula (DC)","SA","22616","10421","4794","43.4","18044","4572","0","4523","271","0"
"49399","Unincorporated SA","SA","145232","2875","479","12.0","1524","3762","139946","344","125","10"
"50080","Albany (C)","WA","20176","18951","4240","21.6","16046","3930","200","4096","143","1"
"50210","Armadale (C)","WA","93150","41412","18875","44.5","83556","9594","0","18436","439","0"
"50250","Ashburton (S)","WA","4373","3976","341","7.6","1749","1506","1118","303","37","1"
"50280","Augusta-Margaret River (S)","WA","15461","8789","2664","28.2","11329","3833","299","2481","181","2"
"50350","Bassendean (T)","WA","12837","7279","2604","34.8","10382","2089","366","2531","71","2"
"50420","Bayswater (C)","WA","47741","30147","9495","30.4","39186","8555","0","9176","319","0"
"50490","Belmont (C)","WA","28563","18524","5034","25.9","19667","8064","832","4795","237","2"
"50560","Beverley (S)","WA","1915","900","471","51.4","1751","164","0","463","8","0"
"50630","Boddington (S)","WA","1831","888","343","36.8","1545","286","0","327","16","0"
"50770","Boyup Brook (S)","WA","1412","1035","292","26.5","1155","257","0","275","17","0"
"50840","Bridgetown-Greenbushes (S)","WA","4309","2575","918","34.3","3747","562","0","883","35","0"
"50910","Brookton (S)","WA","969","479","186","36.9","760","209","0","177","9","0"
"50980","Broome (S)","WA","10317","9505","856","6.4","3440","6877","0","604","252","0"
"51080","Broomehill-Tambellup (S)","WA","746","496","138","25.0","549","197","0","124","14","0"
"51120","Bruce Rock (S)","WA","1099","474","219","43.7","851","248","0","207","12","0"
"51190","Bunbury (C)","WA","26530","15055","5443","35.0","22155","4375","0","5270","173","0"
"51260","Busselton (C)","WA","44960","22710","8523","35.8","35488","9330","142","8133","389","1"
"51310","Cambridge (T)","WA","19748","9341","3469","34.7","15613","4135","0","3238","231","0"
"51330","Canning (C)","WA","85547","37770","16809","43.2","67544","14056","3947","16326","473","10"
"51400","Capel (S)","WA","16273","8105","3406","40.7","13763","2510","0","3303","103","0"
"51470","Carnamah (S)","WA","664","437","114","24.0","450","214","0","105","9","0"
"51540","Carnarvon (S)","WA","4803","3720","399","7.1","1575","3228","0","263","136","0"
"51610","Chapman Valley (S)","WA","1344","676","250","35.9","1141","203","0","243","7","0"
"51680","Chittering (S)","WA","8626","2433","1527","58.5","6638","1988","0","1424","103","0"
"51750","Claremont (T)","WA","8636","3763","1405","35.1","5965","1336","1335","1322","79","4"
"51820","Cockburn (C)","WA","114808","47614","22315","45.5","94930","17067","2811","21680","624","11"
"51890","Collie (S)","WA","7729","4249","1730","39.7","6629","1100","0","1687","43","0"
"51960","Coolgardie (S)","WA","2239","1963","322","15.3","1528","711","0","301","21","0"
"52030","Coorow (S)","WA","1526","976","285","27.6","1266","260","0","270","15","0"
"52100","Corrigin (S)","WA","1173","555","237","40.6","935","238","0","225","12","0"
"52170","Cottesloe (T)","WA","5168","2924","870","27.0","3855","1313","0","789","81","0"
"52240","Cranbrook (S)","WA","694","565","118","18.8","436","258","0","106","12","0"
"52310","Cuballing (S)","WA","910","404","187","43.8","724","186","0","177","10","0"
"52380","Cue (S)","WA","204","164","25","14.4","110","94","0","24","1","0"
"52450","Cunderdin (S)","WA","1401","596","222","33.2","939","462","0","198","24","0"
"52520","Dalwallinu (S)","WA","1774","715","241","28.4","963","811","0","203","38","0"
"52590","Dandaragan (S)","WA","27963","3374","985","27.4","4447","1944","21572","924","59","2"
"52660","Dardanup (S)","WA","15050","6650","3247","47.8","13396","1424","230","3177","69","1"
"52730","Denmark (S)","WA","4873","3517","1009","27.6","3771","1102","0","969","40","0"
"52800","Derby-West Kimberley (S)","WA","4014","4346","246","3.1","704","3110","200","135","110","1"
"52870","Donnybrook-Balingup (S)","WA","7700","3147","1519","45.1","5690","2010","0","1420","99","0"
"52940","Dowerin (S)","WA","633","396","110","25.5","475","158","0","101","9","0"
"53010","Dumbleyung (S)","WA","643","393","108","24.6","418","225","0","97","11","0"
"53080","Dundas (S)","WA","6472","626","47","6.2","137","238","6097","39","7","1"
"53150","East Fremantle (T)","WA","5037","2809","1011","34.6","4362","675","0","972","39","0"
"53220","East Pilbara (S)","WA","73029","3257","138","2.8","332","1555","71142","92","45","1"
"53290","Esperance (S)","WA","9903","6713","998","13.3","4021","1882","4000","895","102","1"
"53360","Exmouth (S)","WA","2880","2662","253","6.5","1044","1836","0","172","81","0"
"53430","Fremantle (C)","WA","21124","13361","4267","30.7","16390","3909","825","4108","156","3"
"53570","Gingin (S)","WA","13369","4408","1683","35.3","6624","3573","3172","1554","127","2"
"53640","Gnowangerup (S)","WA","1003","723","185","23.8","784","219","0","172","13","0"
"53710","Goomalling (S)","WA","1026","494","184","34.7","769","257","0","171","13","0"
"53780","Gosnells (C)","WA","112963","50216","24418","47.6","98216","13247","1500","23900","515","3"
"53800","Greater Geraldton (C)","WA","34914","18950","6554","33.4","27405","5641","1868","6333","218","3"
"53920","Halls Creek (S)","WA","990","1670","55","1.6","152","838","0","26","29","0"
"53990","Harvey (S)","WA","29799","12684","5934","45.6","25346","3715","738","5780","151","3"
"54060","Irwin (S)","WA","4165","1992","842","41.3","3647","518","0","822","20","0"
"54130","Jerramungup (S)","WA","746","768","130","15.5","542","204","0","119","11","0"
"54170","Joondalup (C)","WA","149022","61897","32760","52.1","139624","8638","760","32272","485","3"
"54200","Kalamunda (C)","WA","55738","25146","11958","46.0","47224","8315","199","11579","378","1"
"54280","Kalgoorlie/Boulder (C)","WA","23617","13767","2832","19.3","12548","4382","6687","2660","166","6"
"54310","Karratha (C)","WA","14601","10670","1066","7.3","4122","6869","3610","779","283","4"
"54340","Katanning (S)","WA","2322","1780","475","25.2","1800","522","0","448","27","0"
"54410","Kellerberrin (S)","WA","1018","572","194","32.0","785","233","0","183","11","0"
"54480","Kent (S)","WA","322","284","51","15.1","200","122","0","43","8","0"
"54550","Kojonup (S)","WA","1577","915","258","25.9","996","581","0","237","21","0"
"54620","Kondinin (S)","WA","778","414","107","21.2","417","361","0","88","19","0"
"54690","Koorda (S)","WA","379","230","65","25.2","277","102","0","58","7","0"
"54760","Kulin (S)","WA","656","508","134","24.7","458","198","0","125","9","0"
"54830","Kwinana (C)","WA","45687","19211","9080","46.2","39028","5239","1420","8880","193","7"
"54900","Lake Grace (S)","WA","1166","743","188","22.6","855","311","0","168","20","0"
"54970","Laverton (S)","WA","21903","352","29","4.3","65","312","21526","15","11","3"
"55040","Leonora (S)","WA","4770","657","246","35.3","475","332","3963","232","13","1"
"55110","Mandurah (C)","WA","96731","46079","22427","47.8","87774","7929","1028","22041","382","4"
"55180","Manjimup (S)","WA","7661","5075","1247","22.3","4475","3186","0","1132","115","0"
"55250","Meekatharra (S)","WA","11790","338","77","17.8","222","251","11317","60","13","4"
"55320","Melville (C)","WA","84712","43009","16984","38.1","71321","12884","507","16389","592","3"
"55390","Menzies (S)","WA","206","148","17","8.9","54","152","0","13","4","0"
"55460","Merredin (S)","WA","135855","1635","542","31.0","2116","746","132993","506","34","2"
"55530","Mingenew (S)","WA","661","344","105","27.6","461","200","0","95","10","0"
"55600","Moora (S)","WA","2174","1367","373","25.0","1502","672","0","342","31","0"
"55670","Morawa (S)","WA","753","450","122","24.6","554","199","0","111","11","0"
"55740","Mosman Park (T)","WA","6103","3156","1030","29.8","4580","1315","208","942","87","1"
"55810","Mount Magnet (S)","WA","576","391","56","12.5","208","166","202","49","6","1"
"55880","Mount Marshall (S)","WA","525","389","78","17.5","342","183","0","68","10","0"
"55950","Mukinbudin (S)","WA","545","325","104","29.5","420","125","0","96","8","0"
"56090","Mundaring (S)","WA","36807","15987","7561","45.6","31135","5242","430","7285","275","1"
"56160","Murchison (S)","WA","370","84","18","17.6","70","50","250","15","2","1"
"56230","Murray (S)","WA","24662","9222","5053","53.0","19991","3146","1525","4886","164","3"
"56300","Nannup (S)","WA","1773","852","353","38.7","1353","420","0","330","23","0"
"56370","Narembeen (S)","WA","950","447","151","31.1","702","248","0","139","12","0"
"56460","Narrogin (S)","WA","3614","2382","707","27.9","2804","810","0","665","42","0"
"56580","Nedlands (C)","WA","14024","7035","2460","32.1","10585","3439","0","2259","201","0"
"56620","Ngaanyatjarraku (S)","WA","267","480","25","3.7","85","182","0","18","7","0"
"56730","Northam (S)","WA","23113","5261","2150","38.8","8649","2375","12089","2040","108","2"
"56790","Northampton (S)","WA","5287","2574","731","26.7","3081","1206","1000","688","42","1"
"56860","Nungarin (S)","WA","190","124","37","26.6","140","50","0","33","4","0"
"56930","Peppermint Grove (S)","WA","1123","637","188","26.7","835","288","0","170","18","0"
"57000","Perenjori (S)","WA","559","264","80","26.6","345","214","0","70","10","0"
"57080","Perth (C)","WA","9969","3633","1117","25.3","3987","5478","504","917","198","2"
"57140","Pingelly (S)","WA","1197","568","230","38.5","996","201","0","219","11","0"
"57210","Plantagenet (S)","WA","3731","2477","741","28.0","2879","852","0","693","48","0"
"57280","Port Hedland (T)","WA","4504","8397","480","4.7","1828","2676","0","394","86","0"
"57350","Quairading (S)","WA","1070","508","198","36.6","679","183","208","186","11","1"
"57420","Ravensthorpe (S)","WA","1020","1167","188","14.9","665","355","0","174","14","0"
"57490","Rockingham (C)","WA","139004","61195","30406","48.9","124969","10179","3856","29908","493","5"
"57630","Sandstone (S)","WA","95","78","21","25.6","82","13","0","20","1","0"
"57700","Serpentine-Jarrahdale (S)","WA","40648","13623","7464","52.3","34243","6205","200","7129","334","1"
